main_term,decade,gram,sum_total
theory,2000,evolutionary theory,1016
theory,2000,this theory,1003
theory,2000,game theory,982
theory,2000,of theory,979
theory,2000,general theory,845
theory,2000,theory of biodiversity,809
theory,2000,information theory,777
theory,2000,1967 the theory,723
theory,2000,of the theory,679
theory,2000,and theory,649
theory,2000,unified neutral theory,631
theory,2000,metabolic theory,571
theory,2000,the neutral theory,537
theory,2000,theory of mind,537
theory,2000,selection theory,534
theory,2000,a general theory,518
theory,2000,equilibrium theory,494
theory,2000,metapopulation theory,485
theory,2000,niche theory,463
theory,2000,theory of the,434
theory,2000,optimal foraging theory,420
theory,2000,competition theory,408
theory,2000,theory of ecology,397
theory,2000,theory of natural,377
theory,2000,decision theory,342
theory,2000,biogeography theory,340
theory,2000,mathematical theory,336
theory,2000,island biogeography theory,320
theory,2000,graph theory,310
theory,2000,energy theory,303
theory,2000,genetical theory,299
theory,2000,the genetical theory,286
theory,2000,ecology theory,278
theory,2000,unified theory,275
theory,2000,and the theory,273
theory,2000,1986 foraging theory,268
theory,2000,by theory,268
theory,2000,to the theory,267
theory,2000,wave theory,267
theory,2000,allocation theory,264
theory,2000,between theory,261
theory,2010,the theory,584
theory,2010,neutral theory,279
theory,2010,ecological theory,215
theory,2010,in theory,198
theory,2010,a theory,188
theory,2010,deb theory,155
theory,2010,metabolic theory,138
theory,2010,theory of island,138
theory,2010,game theory,134
theory,2010,evolutionary theory,120
theory,2010,foraging theory,114
theory,2010,this theory,112
theory,2010,graph theory,110
theory,2010,history theory,109
theory,2010,life history theory,109
theory,2010,theory of biodiversity,109
theory,2010,general theory,108
theory,2010,of theory,104
theory,2010,theory of ecology,93
theory,2010,information theory,85
theory,2010,unified neutral theory,80
theory,2010,1967 the theory,78
theory,2010,theory of natural,76
theory,2010,of the theory,74
theory,2010,economic theory,70
theory,2010,and theory,66
theory,2010,equilibrium theory,61
theory,2010,a general theory,59
theory,2010,budget theory,56
theory,2010,energy budget theory,56
theory,2010,niche theory,56
theory,2010,the metabolic theory,56
theory,2010,theory of mind,55
theory,2010,selection theory,51
theory,2010,decision theory,50
theory,2010,and the theory,49
theory,2010,mathematical theory,47
theory,2010,theory of evolution,47
theory,2010,theory of the,47
theory,2010,optimal foraging theory,44
theory,2010,the neutral theory,43
theory,2010,between theory,41
theory,2010,network theory,41
theory,2010,by theory,40
theory,2010,genetical theory,40
theory,2010,prc theory,40
theory,2010,energy theory,38
theory,2010,the genetical theory,37
theory,2010,a metabolic theory,36
theory,2010,biogeography theory,36
theory,2010,genetic theory,36
theory,2010,island biogeography theory,36
